Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
02.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
03.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
08.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
09.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
10.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
13.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
14.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
15.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
16.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
17.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
20.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
21.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
22.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
23.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
24.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
27.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
28.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
29.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
30.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
31.01.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
03.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
04.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
05.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
06.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
07.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
10.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
11.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
12.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
13.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
14.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
17.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
18.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
19.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
20.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
21.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
24.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
25.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
26.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
27.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
28.02.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
03.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
04.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
05.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
06.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
07.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
10.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
11.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
12.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
13.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
14.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
17.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
18.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
19.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
20.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
21.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
24.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
25.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
26.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
27.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
28.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
31.03.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
01.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
02.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
03.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
04.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
07.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
08.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
09.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
10.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
11.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
14.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
15.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
16.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
17.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
22.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
23.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
24.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
25.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
28.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
29.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
30.04.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
02.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
05.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
06.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
07.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
08.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
09.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
12.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
13.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
14.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
15.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
16.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
19.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
20.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
21.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
22.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
23.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
26.05.2014,"61,00","61,00","61,00","61,00","0,00",249.0,15.189,15.189
27.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
28.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
29.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
30.05.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
02.06.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
03.06.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
04.06.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
05.06.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
09.06.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
10.06.2014,"61,00",0,0,"61,00","0,00",0.0,0.0,0
